IUPAC,Formula,Phase,Value,REF
Carbon monoxide,CO,G,-110.5,Speight2005
Carbon monoxide,CO,L,-110.5,Est.
Carbon dioxide,CO2,G,-393.5,Speight2005
Carbon dioxide,CO2,L,-413.26,Speight2005
Oxygen,O2,G,0,Speight2005
Oxygen,O2,L,-12.06,Est.
Water,H2O,G,-241.826,Speight2005
Water,H2O,L,-285.9,Speight2005
Methane,CH4,G,-74.8,Speight2005
Methane,CH4,L,-87.92,Est.
Hydrogen,H2,G,0,Speight2005
Hydrogen,H2,L,0,Est.
Nitrous oxide,N2O,G,82,Speight2005
Nitrous oxide,N2O,L,70,Est.
Ammonia,NH3,G,-45.94,Speight2005
Ammonia,NH3,L,-80.29,Speight2005
Ammonium,NH4+,L,-133.26,Speight2005
Nitric oxide,NO,G,91.29,Speight2005
Nitric oxide,NO,L,91.29,Est.
Hydrogen sulfide,H2S,G,-20.6,Speight2005
Hydrogen sulfide,H2S,L,-38.6,Speight2005
Bisulfide,HS-,L,-16.3,Speight2005
Sulfide,S-2,L,33.1,Alberty2004
Sulfurous acid,H2SO3,L,-608.81,Speight2005
Hydrogen sulfite,HSO3-,L,-626.22,Speight2005
Sulfite,SO3-2,L,-635.5,Speight2005
Sulfuric acid,H2SO4,L,-814,Speight2005
Hydrogen sulfate,HSO4-,L,-886.9,Speight2005
Sulfate,SO4-2,L,-909.34,Speight2005
Carbonic acid,H2CO3,L,-699.65,Speight2005
Bicarbonate,HCO3-,L,-689.93,Speight2005
Carbonate,CO3-2,L,-673.23,Speight2005
Nitrous acid,HNO2,G,-79.5,Speight2005
Nitrous acid,HNO2,L,-79.5,Speight2005
Nitrite,NO2-,L,-104.6,Speight2005
Nitric acid,HNO3,G,-133.9,Speight2005
Nitric acid,HNO3,L,-174.1,Speight2005
Nitrate,NO3-,L,-206.85,Speight2005
Hydroxide,OH-,L,-230.014,Speight2005
Proton,H+,L,0,Kleerebezem2010
Sulfur dioxide,SO2,G,-296.81,Speight2005
Sulfur dioxide,SO2,L,-322.82, ATcT (v1.122)
Sulfur (rhombic),S0,G,0,Kleerebezem2010
Sulfur (rhombic),S0,L,0,Kleerebezem2010
Sulfur (rhombic),S0,S,0,Kleerebezem2010
Formic acid,HCOOH,L,-424.7,Speight2005
Formate,HCOO-,L,-410,Kleerebezem2010
Glycine,NH2CH2COOH,L,-512.58,Gucker1940
Glycine anion,NH2CH2COO-,L,-469.8,Speight2005
Acetic acid,CH3COOH,L,-484.13,Speight2005
Acetate,CH3COO-,L,-486,Speight2005
Dinitrogen,N2,L,0,Asm.
