IUPAC,Formula,Phase,Value,REF,
Methane,CH4,G,186.3,Speight2005,
Methane,CH4,L,186.3,Asm.,
Oxygen,O2,G,205.152,Speight2005,
Oxygen,O2,L,205.152,Asm.,
Carbon dioxide,CO2,L,119.36,Speight2005,
Bicarbonate,HCO3-,L,98.45,Speight2005,
Carbonate,CO3-2,L,-50.01,Speight2005,
Water,H2O,L,69.95,Speight2005,
Hydrogen,H2,G,130.68,Speight2005,
Hydrogen,H2,L,130.68,Asm.,
Carbon monoxide,CO,G,119.66,Speight2005,
Carbon monoxide,CO,L,119.66,Asm.,
Hydrogen sulfide,H2S,L,126.5,Speight2005,
Bisulfide,HS-,L,67.5,Speight2005,
Sulfide,S-2,L,22,Speight2005,
Sulfuric acid,H2SO4,L,156.9,Speight2005,
Hydrogen sulfate,HSO4-,L,131.73,Speight2005,
Sulfate,SO4-2,L,18.5,Speight2005,
Proton,H+,L,0,Speight2005,
Ammonia,NH3,G,192.776,Speight2005,
Ammonia,NH3,L,111.3,Speight2005,
Ammonium,NH4+,L,111.17,Speight2005,
Nitrous acid,HNO2,G,254.1,Speight2005,
Nitrous acid,HNO2,L,254.1,Asm.,
Nitrite,NO2-,L,123,Speight2005,
